unitid,institution,sector,carnegie_classification,medical_degree_flag,hospital_flag,year,total_faculty,tenured_total,t_track_total,non_tenure_total,assistant_professor_total,associate_professor_total,professor_total,non_tenure_assistant_professor,non_tenure_associate_professor,non_tenure_professor,t_track_assistant_professor,t_track_associate_professor,t_track_professor,tenured_assistant_professor,tenured_associate_professor,tenured_professor,pct_tenured,pct_t_track,pct_non_tenure,pct_professor,pct_associate_professor,pct_assistant_professor,pct_tenured_professor,pct_tenured_associate_professor,pct_tenured_assistant_professor,pct_t_track_professor,pct_t_track_associate_professor,pct_t_track_assistant_professor,pct_non_tenure_professor,pct_non_tenure_associate_professor,pct_non_tenure_assistant_professor,tenure_system_total,pct_tenure_system,non_tenure_to_tenure_system_ratio,senior_faculty_total,pct_senior_faculty,assistant_to_senior_ratio,check_tenure_total,check_rank_total,tenure_total_diff,rank_total_diff,pct_tenure_sum,pct_rank_sum,rank_total,pct_professor_ranked,pct_associate_professor_ranked,pct_assistant_professor_ranked,ft_ugrd,pt_ugrd,ugrd_total,ugrd_fte,grad_total,grad_fte,ugrds_per_faculty,grads_per_tenure_system,indexed_total_faculty
165015,Brandeis University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,2023,404,191,77,136,77,62,129,,,,77,0,0,0,62,129,0.472772277,0.190594059,0.336633663,0.319306931,0.153465347,0.190594059,0.319306931,0.153465347,0,0,0,0.190594059,,,,268,0.663366337,0.507462687,191,0.472772277,0.403141361,404,268,0,0,1,0.663366337,268,0.481343284,0.231343284,0.287313433,3661,14,3675,3665.666667,1627,1350.333333,9.073432343,5.038557214,112.849162
165015,Brandeis University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,2024,381,182,78,121,77,63,120,,,,77,1,0,0,62,120,0.477690289,0.204724409,0.317585302,0.31496063,0.165354331,0.202099738,0.31496063,0.162729659,0,0,0.002624672,0.202099738,,,,260,0.682414698,0.465384615,183,0.480314961,0.420765027,381,260,0,0,1,0.682414698,260,0.461538462,0.242307692,0.296153846,3615,17,3632,3620.666667,1573,1299.666667,9.503062117,4.998717949,106.424581
165015,Brandeis University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,2025,366,172,76,118,75,59,114,,,,75,1,0,0,58,114,0.469945355,0.207650273,0.322404372,0.31147541,0.161202186,0.204918033,0.31147541,0.158469945,0,0,0.00273224,0.204918033,,,,248,0.677595628,0.475806452,173,0.472677596,0.433526012,366,248,0,0,1,0.677595628,248,0.459677419,0.237903226,0.302419355,3341,17,3358,3346.666667,1384,1148.666667,9.143897996,4.63172043,102.2346369
110316,California Institute of Integral Studies,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2016,68,0,0,68,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,68,0,0,0,1,0,0,,,,60,10,70,63.33333333,1389,1185.666667,0.931372549,,100
110316,California Institute of Integral Studies,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2017,63,0,0,63,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,63,0,0,0,1,0,0,,,,47,3,50,48,1367,1159.666667,0.761904762,,92.64705882
110316,California Institute of Integral Studies,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2018,59,0,0,59,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,59,0,0,0,1,0,0,,,,55,6,61,57,1391,1179,0.966101695,,86.76470588
110316,California Institute of Integral Studies,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2019,58,0,0,58,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,58,0,0,0,1,0,0,,,,63,6,69,65,1407,1189.666667,1.120689655,,85.29411765
110316,California Institute of Integral Studies,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2020,55,0,0,55,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,55,0,0,0,1,0,0,,,,90,8,98,92.66666667,1432,1168.666667,1.684848485,,80.88235294
110316,California Institute of Integral Studies,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2021,56,0,0,56,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,56,0,0,0,1,0,0,,,,76,8,84,78.66666667,1762,1316,1.404761905,,82.35294118
110316,California Institute of Integral Studies,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Small,No,No,2022,63,0,0,63,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,0,,0,0,,63,0,0,0,1,0,0,,,,79,8,87,81.66666667,2054,1781.333333,1.296296296,,92.64705882
