unitid,institution,sector,carnegie_classification,medical_degree_flag,hospital_flag,metric,first_year,last_year,n_years,first_value,last_value,absolute_change,percent_change,average_annual_change,slope,intercept,r_squared,p_value,std_error
117946,Loyola Marymount University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_t_track,2016,2025,10,0.129692833,0.176730486,0.047037653,0.362685063,0.005226406,0.005268228,-10.48535507,0.68368198,0.003172848,0.001266935
117946,Loyola Marymount University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_non_tenure,2016,2025,10,0.257679181,0.332842415,0.075163234,0.291693082,0.00835147,0.009905443,-19.71606895,0.932881995,5.70453E-06,0.000939366
117946,Loyola Marymount University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_professor,2016,2025,10,0.380546075,0.304860088,-0.075685987,-0.19888784,-0.008409554,-0.009665491,19.87403152,0.938663538,3.96896E-06,0.000873541
117946,Loyola Marymount University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_associate_professor,2016,2025,10,0.230375427,0.191458027,-0.0389174,-0.168930344,-0.004324156,-0.004355825,9.000512902,0.622023793,0.006700453,0.001200478
117946,Loyola Marymount University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_assistant_professor,2016,2025,10,0.131399317,0.17083947,0.039440152,0.300154926,0.004382239,0.004115872,-8.15847547,0.551902364,0.013826317,0.00131121
117946,Loyola Marymount University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenure_system,2016,2025,10,0.742320819,0.667157585,-0.075163234,-0.10125438,-0.00835147,-0.009905443,20.71606895,0.932881995,5.70453E-06,0.000939366
117946,Loyola Marymount University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_senior_faculty,2016,2025,10,0.610921502,0.496318115,-0.114603387,-0.187591019,-0.01273371,-0.014021315,28.87454442,0.961836787,5.89084E-07,0.000987451
117946,Loyola Marymount University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,grads_per_tenure_system,2016,2025,10,5.674329502,5.540103017,-0.134226485,-0.023655039,-0.014914054,-0.021036705,48.29131235,0.070968975,0.456875825,0.026909992
117946,Loyola Marymount University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,ugrds_per_faculty,2016,2025,10,10.4374289,10.41875307,-0.018675828,-0.001789313,-0.002075092,0.03072789,-51.25872999,0.072878184,0.450651388,0.038748721
122436,University of San Diego,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,total_faculty,2016,2025,10,439,518,79,0.179954442,8.777777778,8.442424242,-16569.21818,0.907416318,2.08809E-05,0.953424065
122436,University of San Diego,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenured,2016,2025,10,0.630979499,0.557915058,-0.073064441,-0.115795269,-0.008118271,-0.007392668,15.5155288,0.7724794,0.000810761,0.00141848
122436,University of San Diego,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_t_track,2016,2025,10,0.211845103,0.158301158,-0.053543944,-0.252750446,-0.005949327,-0.007597946,15.52852429,0.729333352,0.001659905,0.001636461
122436,University of San Diego,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_non_tenure,2016,2025,10,0.157175399,0.283783784,0.126608385,0.805522914,0.014067598,0.014990614,-30.04405309,0.842755903,0.000178849,0.002289342
122436,University of San Diego,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_professor,2016,2025,10,0.371298405,0.349420849,-0.021877556,-0.058921761,-0.00243084,-0.0040092,8.44139305,0.464566019,0.029963135,0.001521745
122436,University of San Diego,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_associate_professor,2016,2025,10,0.28929385,0.223938224,-0.065355626,-0.225914328,-0.007261736,-0.004565465,9.480580999,0.554963823,0.013425467,0.001445458
122436,University of San Diego,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_assistant_professor,2016,2025,10,0.182232346,0.142857143,-0.039375203,-0.216071429,-0.004375023,-0.006415949,13.12207904,0.733070108,0.001567073,0.001368806
122436,University of San Diego,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenure_system,2016,2025,10,0.842824601,0.716216216,-0.126608385,-0.150219138,-0.014067598,-0.014990614,31.04405309,0.842755903,0.000178849,0.002289342
122436,University of San Diego,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_senior_faculty,2016,2025,10,0.660592255,0.573359073,-0.087233182,-0.132052989,-0.009692576,-0.008574665,17.92197405,0.752616109,0.001144534,0.001738085
122436,University of San Diego,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,grads_per_tenure_system,2016,2025,10,5.24954955,6.749326146,1.499776596,0.285696245,0.166641844,0.129374216,-255.3288837,0.681783469,0.003253105,0.031249342
122436,University of San Diego,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,ugrds_per_faculty,2016,2025,10,12.68716781,11.49485199,-1.192315811,-0.093978091,-0.132479535,-0.170566646,356.2447352,0.649934869,0.004850342,0.044257678
122931,Santa Clara University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,total_faculty,2016,2025,10,544,705,161,0.295955882,17.88888889,19.47878788,-38749.89091,0.892162461,3.86891E-05,2.394307605
122931,Santa Clara University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_tenured,2016,2025,10,0.553308824,0.407092199,-0.146216625,-0.264258618,-0.016246292,-0.018819186,38.50926142,0.930638745,6.51247E-06,0.001816451
122931,Santa Clara University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_t_track,2016,2025,10,0.167279412,0.225531915,0.058252503,0.348234744,0.0064725,0.006847955,-13.64786373,0.881199695,5.72647E-05,0.000888971
122931,Santa Clara University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_non_tenure,2016,2025,10,0.279411765,0.367375887,0.087964122,0.314818962,0.009773791,0.011971231,-23.86139769,0.822813457,0.000291041,0.001964077
122931,Santa Clara University,"Private not-for-profit, 4-year or above",Mixed Undergraduate/Graduate-Doctorate Medium,No,No,pct_professor,2016,2025,10,0.28125,0.215602837,-0.065647163,-0.233412136,-0.007294129,-0.009580074,19.60169666,0.90986529,1.87378E-05,0.001066059
